Project Name,Client Name,Location,Capabilities,Markets,Thumbnail,URL
Economic Growth Spurs US 150 Improvements,Village of Mahomet,"Mahomet, IL",Transportation,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/036.jpg?h=10655169&itok=KDy7BhGE,https://www.f-w.com/projects/economic-growth-spurs-us-150-improvements
"Education Center, Building 1117","HB&A, LLC / U.S. Army Corps of Engineers Northwestern Division","Fort Carson, CO","Electrical, Land Development, Mechanical, Plumbing","DOD / Federal, Higher Education",,https://www.f-w.com/projects/education-center-serving-our-service-members
East Chicago Station Gas Chromatograph,Buckeye Partners,"East Chicago, IN","Electrical, Oil & Gas","Energy & Utilities, Oil & Gas",,https://www.f-w.com/projects/electrical-and-instrumentation-installation-drawings-provided-to-buckeye-partners
Hammond Terminal Electrical Upgrade,,"Hammond, IN","Electrical, Oil & Gas, Structural, Surveying","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Cable%20Tray%20cropped%20for%20web.jpg?h=12bd73b8&itok=VwUmqJaB,https://www.f-w.com/projects/electrical-upgrades-for-a-refined-products-terminal
Chatham Station Electrical Upgrades,Marathon Petroleum Company,"Worland, WY","Electrical, Oil & Gas, Structural, Surveying","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_2977_0.JPG?h=fc3c1d04&itok=gbE62v6i,https://www.f-w.com/projects/electrical-upgrades-made-to-mpl-chatham-station
Sugar Creek Elementary School Renovations and Addition,McLean County Community Unit School District 5,"Normal, IL","Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing",K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Sugar%20Creek%20Elem%20Sch%202011%20001.jpg?h=30c08e7f&itok=v7k7FKF7,https://www.f-w.com/projects/elementary-school-renovations-double-size
California State Capitol Building Annex,MOCA Systems,"Sacramento, CA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/the-california-state-capitol-building-in-sacrament-2022-11-10-10-35-40-utc.jpg?h=a5eb5da0&itok=sDmB-QvS,https://www.f-w.com/projects/elevating-sustainability-california-state-capitol-annex-project
W.T. White High School Storm Shelter Peer Review,Dallas Independent Unified School District (DISD),"Dallas, TX","Architecture, Electrical, Mechanical, Structural","K-12 Education, ICC Storm Shelter Peer Review",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/WT%20White%20HS%203A.JPG?h=19f14c2c&itok=11RK3ysI,https://www.f-w.com/projects/emergency-power-required-for-storm-shelter-shutters
FRANKLIN D. ROOSEVELT HIGH SCHOOL STORM SHELTER PEER REVIEW,Dallas Independent School District (DISD),"Dallas, TX","Architecture, Electrical, Mechanical, Structural","K-12 Education, ICC Storm Shelter Peer Review",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Franklin%20D%20Roosevelt%20HS%206A.JPG?h=19f14c2c&itok=9mGkDGOx,https://www.f-w.com/projects/emergency-ventilation-identified-for-storm-shelters
ISU Building Energy Assessments,Illinois State University,"Normal, IL","Asset Management, Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SLB%20DSC_0449.jpg?h=895c7986&itok=Vb7KeVYl,https://www.f-w.com/projects/energy-assessments-identify-cost-savings
Microchip Site Energy Conservation Analysis,,,"Mechanical, Process Piping",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/B56%20Boilers2.JPG?h=7dcb60fd&itok=DgjGKTjy,https://www.f-w.com/projects/energy-conservation-at-a-semiconductor-fab
Sustainable Infrastructure Assessments for Air Force Civil Engineer Center,Atkins North America / U.S. Army Corps of Engineers Fort Worth District,"Eglin Air Force Base, FL","Asset Management, Commissioning (Cx)",DOD / Federal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SIA%20298.JPG?itok=5qfJGfTC,https://www.f-w.com/projects/energy-savings-for-the-air-force
OSF Saint Anthony Medical Center Chilled Water System Evaluation,OSF Healthcare,"Rockford, IL","Asset Management, Commissioning (Cx)",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/OSF%20SAMC%20Chilled%20Water%20Eval%20IMG_4148%20for%20web.jpg?itok=LkfkO-_x,https://www.f-w.com/projects/energy-savings-identified-for-rockford-hospital
BayCare Wesley Chapel Hospital,BayCare Health System,"Wesley Chapel, FL","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_5943.JPG?h=71976bb4&itok=mh26Wwhs,https://www.f-w.com/projects/enhancing-patient-care-commissioning-success-at-wesley-chapel-hospital
Georgia Southern University Interdisciplinary Academic Building,Georgia Southern University,"Statesboro, GA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Georgia-Southern-University-Interdisciplinary-Exterior-1900-larger%20photo.png?h=16b1dee4&itok=w2RioNiB,https://www.f-w.com/projects/enhancing-performance-at-georgia-southern-universitys-new-academic-hub
Biology Building Renovation and Expansion,University of West Georgia,"Carrollton , GA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/exterior.jpg?h=71976bb4&itok=WuGk5i52,https://www.f-w.com/projects/envelope-commissioning-for-building-addition
Village of Monee Comprehensive Parks and Recreation Plan,Village of Monee,"Monee, IL",Planning,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Monee%20Parks%20and%20Rec%20Plan2.jpg?h=963d9fc3&itok=zB7DsQzz,https://www.f-w.com/projects/establishing-park-and-recreation-priorities
Chestnut Health Systems Family Health Center,Chestnut Health Systems,"Bloomington, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing, Structural, Surveying",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_3466-Full.jpg?h=9ffe7daa&itok=YTMctQBP,https://www.f-w.com/projects/expanding-community-based-healthcare-service
South East Junior High School Renovation and Expansion,Iowa City Community School District,"Iowa City, IA",Architecture,K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/18294-%200160%20F_web.jpg?h=8041c74f&itok=-xlsiwDG,https://www.f-w.com/projects/expansion-accommodates-attendance-growth
Three Additions at New Belgium Brewery,New Belgium Brewing,"Fort Collins, CO","Engineering, Surveying",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0846.JPG?h=d374f099&itok=UGXE_q1Y,https://www.f-w.com/projects/expansion-requires-engineering-reconfiguration
Apostolic Christian Skylines Assessment,Apostolic Christian Skylines,"Peoria, IL","Architecture, Mechanical, Structural",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Final_Serving_2_1.jpg?h=81d2f500&itok=a3qCNyE1,https://www.f-w.com/projects/facility-assessment-study-outlines-improvements
Farmington Solar Project,Farmington Central School District No. 265,"Farmington, IL","Architecture, Engineering, Structural","Energy & Utilities, K-12 Education, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/eewrwe.jpg?h=332dbebd&itok=PGs4_Qfl,https://www.f-w.com/projects/farmington-solar-project
Backbone Fiber - Merriam Lane,Confidential Global Telecom Company,"Kansas City, MO",Engineering,"Energy & Utilities, Telecommunications",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/MH144.jpeg?h=71976bb4&itok=h5sbdpI2,https://www.f-w.com/projects/farnsworth-group-maps-best-run-for-backbone-fiber
"University of Denver, School of Engineering and Computer Science",,"Denver, CO",Engineering,Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_7908.JPG?h=5f62bdfc&itok=l1iWGk8C,https://www.f-w.com/projects/fire-sprinkler-design-for-engineering-school
Pennsylvania Avenue Roundabout,City of Peoria,"Peoria, IL",Transportation,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0038.JPG?h=fee4874d&itok=LcwOD3DR,https://www.f-w.com/projects/first-roundabout-intersection-in-peoria
Leonhard Center Recreation Center,Champaign Park District,"Champaign, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing, Structural, Surveying",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC07222%20edited.jpg?h=4fcd1acd&itok=aVZpSdue,https://www.f-w.com/projects/flagship-facility-for-indoor-recreation
FLC and Sportsplex Retro-Commissioning,Village of Orland Park,"Orland Park, IL",Retro-Commissioning (RCx),Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/1-larger.png?h=a93ff5e5&itok=iWAKHoyj,https://www.f-w.com/projects/flc-and-sportsplex-retro-commissioning
"HVM Fab, UPW and HUPW Distribution",Confidential Client,,Process Piping,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UPW%201_0.JPG?h=0d054e74&itok=AjOeGKps,https://www.f-w.com/projects/flexible-and-robust-upw-distribution-system-design
Athens Technical College Industrial Systems and Technical Building,Athens Technical College,"Athens, GA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Athens%20Tech%20College.png?h=72a7f23b&itok=l9oXQgzc,https://www.f-w.com/projects/forging-the-future-athens-technical-colleges-industrial-systems-technology-building
Betty Jayne Brimmer Center for the Performing Arts,KDB Group,"Peoria Heights, IL",Architecture,"Historic Preservation, Library & Cultural",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Untitled-1_6.jpg?h=1e9369ff&itok=6Xa1yz5b,https://www.f-w.com/projects/former-library-turned-into-performing-arts-center
Founders Hall,Southern Illinois University - Edwardsville,"Edwardsville, IL","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/founders%20hall%20interior%20WEB.jpg?h=fb563175&itok=NxrqBf79,https://www.f-w.com/projects/founders-hall-renovation-improves-safety-efficiency
Meridian Way Wind Farm Site and O&M Building,Horizon Wind Energy,"Cloud County, KS","Architecture, Electrical, Engineering, Mechanical, Plumbing, Surveying, Transportation","Energy & Utilities, Industrial, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/S6300015.JPG?h=4c5c077f&itok=-dIEBrxB,https://www.f-w.com/projects/full-services-provided-for-kansas-wind-farm
Fulton County Emergency Medical Association (EMA),Fulton County EMA,"Canton, IL","Architecture, Electrical, Land Development, Mechanical, Plumbing, Structural",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSCN8036.JPG?h=30c08e7f&itok=qPE2RasZ,https://www.f-w.com/projects/fulton-county-ema-offices-more
Georgia State Capitol Building Improvements,GSFIC & Georgia Building Authority,"Atlanta, GA","Commissioning (Cx), Retro-Commissioning (RCx)",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/GA-State-alrger.png?h=d782a8fb&itok=R832fbXZ,https://www.f-w.com/projects/georgia-state-capitol-building-improvements-commissioning
Georgia State Capitol Building Renovation Hydronic Investigation,GSFIC & Georgia Building Authority,"Atlanta, GA","Commissioning (Cx), Retro-Commissioning (RCx), Testing, Adjusting, and Balancing (TAB)",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/GA-State.png?h=d782a8fb&itok=BknUY8HD,https://www.f-w.com/projects/georgia-state-capitol-building-renovation-hydronic-investigation
Georgia State Capitol New Legislative Office Building Commissioning,GSFIC & Georgia Building Authority,"Atlanta, GA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/LOB-Cx.png?h=8a0c22ab&itok=hSNqzNyJ,https://www.f-w.com/projects/georgia-state-capitol-new-legislative-office-building-commissioning
Georgia Tech 4th Street Apartments HVAC Pre-TAB and Initial Controls Assessment,Georgia Institute of Technology,"Atlanta, GA","Commissioning (Cx), Retro-Commissioning (RCx), Testing, Adjusting, and Balancing (TAB)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/4th-street-google-images.png?h=4c9ec5c5&itok=KbIA6yv7,https://www.f-w.com/projects/georgia-tech-4th-street-apartments-hvac-pre-tab-and-initial-controls-assessment
Glacier Sands Wind Project,"Glacier Sands Wind Power, LLC","Mason County, IL",Surveying,"Energy & Utilities, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/1_1.jpg?h=9658c3a2&itok=4yeODiCh,https://www.f-w.com/projects/glacier-sands-wind-project
OSF Hospice House,"OSF Healthcare, Inc.","Peoria, IL",Landscape Architecture,Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0038_0.JPG?itok=6jVYXJ4m,https://www.f-w.com/projects/healing-garden-comforts-patients
Dunlap High School Phase I Addition & Renovation,Dunlap CUSD #323,"Dunlap, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0385.JPG?h=623f249a&itok=hy1RUO11,https://www.f-w.com/projects/high-school-grows-by-10-classrooms
OSF Jump Trading Simulation Center,OSF Healtchare,"Peoria, IL",Commissioning (Cx),,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/OSF%20Simulation%20Ctr_DSC0062.jpg?itok=uR4dt65j,https://www.f-w.com/projects/high-tech-medical-simulation
Regents Building Renovation,University of Colorado Boulder,"Boulder, CO",Architecture,Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0152.JPG?h=7685ba0d&itok=zml9D_VM,https://www.f-w.com/projects/high-visibility-and-inviting-experience
"HillTopper Wind Farm in Logan County, Illinois",HillTopper Wind Power LLC,"Logan County, IL","Structural, Surveying, Transportation","Energy & Utilities, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/0718181529%20hilltopper.jpg?h=266da715&itok=midb9pch,https://www.f-w.com/projects/hilltopper-wind-farm-in-logan-county-illinois
Cooperage 214,The Kim Group,"Peoria, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing, Structural","Historic Preservation, Retail & Mixed Use",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/D7K_4809.jpg?h=bfa41935&itok=FISnFNE9,https://www.f-w.com/projects/historic-building-converted-to-mixed-use
New Hope Apartments,Peoria Opportunities Foundation,"Peoria, IL","Architecture, Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/New%20Hope%20Apts.jpg?h=a5eb5da0&itok=Sovcgs-e,https://www.f-w.com/projects/historic-building-renovated-for-apartments
Historic Murray Building,Murray Place Development,"Peoria, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying","Historic Preservation, Retail & Mixed Use",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/murray%20building%20exterior%20NEW.jpg?h=790be497&itok=IzXvCnYH,https://www.f-w.com/projects/historic-landmark-becomes-multi-use-facility
Georgia State University National Institute for Student Success,Georgia State University,"Atlanta, GA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/GASTU%20Auburn%20Ave%20Renov%20render-larger.png?h=2a25bfbe&itok=vyB6fJNK,https://www.f-w.com/projects/historic-renewal-georgia-state-universitys-innovative-student-success-institute
Historic Peoria High School Addition,Peoria Public Schools,"Peoria, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying","Historic Preservation, K-12 Education",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/D7K_5471.JPG?h=bfa41935&itok=tsWYVpZs,https://www.f-w.com/projects/historic-school-building-gets-fresh-look
Dallas Municipal Building Renovation for UNT College of Law,University of North Texas,"Dallas, TX",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UNT%20School%20of%20Law%20%28Dallas%20Muni%20Bldg%29%20IMG_1825%20-%20sized.jpg?h=9d1396ff&itok=2k7-W1P6,https://www.f-w.com/projects/historical-renovation-commissioned
"International Health and Wellness Center, Garden of the Gods Club and Resort",CSNA Architects,"Colorado Springs, CO",Electrical,"Commercial, Healthcare",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Image-A_0873%20smaller%202.jpg?h=328cea1f&itok=Uq4PkzKv,https://www.f-w.com/projects/holistic-lighting-plan-integrated
University of West Georgia Humanities Building Renovation and Infrastructure Upgrades,University of West Georgia,"Carrollton, GA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UWG%20Humanities.png?h=63bfb7ce&itok=iUYpu90i,https://www.f-w.com/projects/humanities-building-renovation-and-infrastructure-upgrades-at-the-university-of-west
"Denver Federal Center, Multiple Building Retro-Commissioning Program",PM Services,"Lakewood, CO",Commissioning (Cx),DOD / Federal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/B67a.JPG?h=7dcb60fd&itok=Hnyz8SW5,https://www.f-w.com/projects/identified-simple-solutions-for-complex-issues
Illinois Department of Transportation - Bridge Relocations,Illinois Department of Transportation District 8,"Multiple Locations, IL","Structural, Transportation",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_5409.JPG?h=a141e9ea&itok=1sSfrK50,https://www.f-w.com/projects/idot-bridge-relocations
Illinois State Capitol Building Additions LEED Commissioning,Illinois Capital Development Board,"Springfield, IL",Commissioning (Cx),,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/ILSTATECAP.png?h=cd5a376d&itok=Q-ap5tzb,https://www.f-w.com/projects/illinois-state-capitol-building-additions-leed-commissioning
Illinois State Police Forensic Science Laboratory Renovatoin,Illinois Capital Development Board,"Joliet, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Joliet-State-Crime-Lab-existing-lab-hoods-IMG_20190521_130155_larger-web_test.jpg?h=67780557&itok=VfiJe9x_,https://www.f-w.com/projects/illinois-state-police-forensic-science-laboratory-renovation
