Project Name,Client Name,Location,Capabilities,Markets,Thumbnail,URL
Boulder Reservoir Visitors Services Center,City of Boulder Parks and Recreation Department,"Boulder, CO","Architecture, Commissioning (Cx), Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Boulder%20Res%20exterior%20-30.jpg?h=7f7fd19f&itok=Ex1AzzC6,https://www.f-w.com/projects/improved-experience-for-reservoir-visitors
Downtown Paxton Improvement Study,City of Paxton,"Paxton, IL","Architecture, Landscape Architecture, Planning","Historic Preservation, Municipal",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Pages-from-Final-Vision-Book_10-23-2017_Page_2.png?h=82f12f4a&itok=RMlCndW3,https://www.f-w.com/projects/improvement-study-gives-vision-to-downtown-paxton
Glavin Station,Southern Star Central Gas Pipeline,"Johnson County, KS","Electrical, Oil & Gas, Structural","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0174.JPG?h=167fa2e6&itok=esgxtYWD,https://www.f-w.com/projects/improvements-to-a-natural-gas-regulation-and-measurement-station
Add/Alter Gate 2 Entry Control Facility,HB&A Architects / U.S. Army Corps of Engineers,"F.E. Warren Air Force Base, WY","Electrical, Land Development, Mechanical",DOD / Federal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/FE%20Warren%20Gate%202%20646_0.jpg?itok=dEAnQ35q,https://www.f-w.com/projects/improving-gate-security-at-fe-warren-afb
Crossroads Lift Station,South Fort Collins Sanitation District,"Loveland, CO","Engineering, Municipal, Surveying, Wastewater",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Crossroads%20Lift%20Station-Generator.JPG?h=5f62bdfc&itok=h0aRZjuY,https://www.f-w.com/projects/increased-lift-station-capacity-allows-for-growth
Hillcrest High School Storm Shelter Peer Review,Dallas Independent School District (DISD),"Dallas, TX","Architecture, Electrical, Mechanical","K-12 Education, ICC Storm Shelter Peer Review",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Hillcrest%20HS%202A.JPG?h=19f14c2c&itok=gAvlnxzF,https://www.f-w.com/projects/independent-third-party-review-of-tornado-shelter
University of Georgia Lindsey Hopkins Indoor Tennis Facility Replacement,University of Georgia,"Athens, GA",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UGA%20Tennis-larger.png?h=2d49d815&itok=rkn87fxc,https://www.f-w.com/projects/innovative-and-efficient-air-systems-for-the-university-of-georgia-lindsey-hopkins-indoor
Wastewater Collection and Treatment System,City of Lexington,"Lexington , IL","Electrical, Engineering, Mechanical, Municipal, Plumbing, Structural, Wastewater",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Lexington%201.jpg?h=adf6b549&itok=oOTJe2yq,https://www.f-w.com/projects/innovative-zero-discharge-wastewater-system
Panasonic's Enterprise Solutions,"Westfield Company, Inc.","Denver, CO",Interior Design,Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Panasonic-2_0.jpg?itok=yt0HA8eZ,https://www.f-w.com/projects/integrated-global-technology
Apple Canyon Lake,Apple Canyon Lake Property Owners Association,"Apple River, IL","Architecture, Landscape Architecture",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/FullSizeRender.jpg?h=84882155&itok=ikIn5uF4,https://www.f-w.com/projects/integrating-nature-with-the-built-environment
OMPA Lamb Power Plant,Southern Star Central Gas Pipeline,"Kay County , OK","Oil & Gas, Surveying",Oil & Gas,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0747.JPG?itok=P-91FoPe,https://www.f-w.com/projects/interconnect-for-natural-gas-delivery-to-an-oklahoma-power-plant
Meadows at Mercy Creek,Meadows of Mennonite Retirement Community,"Normal, IL",Interior Design,Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Apartment.JPG?h=fee4874d&itok=EEiAVYTj,https://www.f-w.com/projects/interiors-renovated-to-welcome-residents
Christian Memorial Buehler Home Renovation,Christian Memorial Buehler Home,"Peoria, IL",Interior Design,Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Christian%20Buehler%20Nurse%20Station%201.JPG?h=156fdada&itok=MbgqRzie,https://www.f-w.com/projects/interiors-update-for-senior-living-facility
Downtown Intersection Improvements,City of Champaign,"Champagin, IL",Transportation,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0368.JPG?h=f03d1f75&itok=DGknpFTx,https://www.f-w.com/projects/intersection-improvements-increase-safety-downtown
Hickory Grove and Allen Road Intersection Reconstruction,Dunlap Community School District 323,"Peoria, IL",Transportation,"K-12 Education, Municipal",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DJI00089.JPG?h=63cf6567&itok=y9kcj6yU,https://www.f-w.com/projects/intersection-reconstruction-to-support-new-school
Missouri Botanical Garden Jack C. Taylor Visitor Center,Missouri Botanical Garden,"St. Louis, MO","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/MO%20Botanical%20Visitor%20Ctr%202_Northwest%20Aerial%20View_web_0.jpg?h=e874f6c8&itok=4OZTphI_,https://www.f-w.com/projects/introducing-the-transformed-missouri-botanical-gardens-jack-c-taylor-visitor-center
Edward Avenue and Taylor Avenue,Confidential Global Telecom Company,"Maryland Heights, MO",Engineering,"Energy & Utilities, Telecommunications",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_5549_Edited.png?h=d318f057&itok=tZJHYnUf,https://www.f-w.com/projects/investigation-of-cable-issues-for-successful-replacement
Iowa State University Enrollment Center Renovation,Iowa State University,"Ames, IA","Architecture, Building Enclosure Commissioning (BECx)",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/01_0.jpg?h=71976bb4&itok=8NjTUuoY,https://www.f-w.com/projects/iowa-state-university-enrollment-center-renovation
Ronald Mcdonald House Charities of Central Illinois,Ronald Mcdonald House Charities of Central Illinois,"PEORIA, IL","Architecture, Commissioning (Cx), Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Photo%20Edit.jpg?h=790be497&itok=ZYsfKKhP,https://www.f-w.com/projects/keeping-families-close-peoria-ronald-mcdonald-house
KKTV Office and Studio Renovation,H.W. Houston,"Colorado Springs, CO","Electrical, Mechanical, Plumbing",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/KKTV_hi-res-08.jpg?h=2e3eca71&itok=bEWUZOrQ,https://www.f-w.com/projects/kktv-office-and-studio-renovation
Knox College Green Oaks Biological Field Station Renovation,Knox College,"Victoria, IL",Architecture,Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Green-Oaks-Biological-Field-Station.png?h=0d5ad8f5&itok=9TW9C0Ah,https://www.f-w.com/projects/knox-college-green-oaks-biological-field-station-renovation
Lake Sara Pearson Peninsula,Lake Sara Forever Fund,"Effingham, IL",Landscape Architecture,Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/LS1.enlarged.jpg?h=730a296a&itok=dxG58Hp6,https://www.f-w.com/projects/lake-sara-pearson-peninsula-park
Carl Sandburg College Lakeside Master Plan,Carl Sandburg College,"Galesburg, IL","Architecture, Electrical, Landscape Architecture, Structural, Surveying",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1618%20%282%29%20edit.jpg?h=5dfc5ece&itok=WAbJmJS1,https://www.f-w.com/projects/lakeside-master-plan-with-accessibility-upgrades
Lakeview Branch Library Renovation,Peoria Public Library,"Peoria, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing",Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0046_0.JPG?h=fee4874d&itok=smTfnP4B,https://www.f-w.com/projects/lakeview-branch-library-receives-renovation
Griffith Station - New Office & Shop Building,Marathon Pipe Line Company,"Griffith, IN","Engineering, Land Development, Surveying",Oil & Gas,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_2888%20Web.jpg?h=feba0e1d&itok=V7Ew8_6a,https://www.f-w.com/projects/land-development-for-a-new-office-building
College of the Desert - Nine Projects,College of the Desert,"Palm Desert, CA",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/College%20of%20the%20Desert%20141-sign%20removed_0.jpg?h=02ce9656&itok=nDjuVeeB,https://www.f-w.com/projects/leed-commissioning-services-abound
Staunton State Park – Multiple Projects,Colorado Division of Parks and Wildlife,"Conifer, CO","Engineering, Surveying",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Site%20tour%20photos%2010-1-07%20011.jpg?h=4e026002&itok=R-8eSYYP,https://www.f-w.com/projects/legacy-entrusted-to-master-planning-team
Arvada Marketplace Shopping Center,Pine Tree Development,"Arvada, CO",Architecture,Retail & Mixed Use,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Arvada%20Marketplace-4.jpg?h=08d0ac25&itok=cjhyVYqs,https://www.f-w.com/projects/less-square-footage-creates-success
Lincoln Carnegie Branch Library Renovation & Expansion,Peoria Public Library,"Peoria, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying","Historic Preservation, Library & Cultural",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0142_%20less%20shadow.jpg?h=fee4874d&itok=8xFTRTQ4,https://www.f-w.com/projects/library-receives-update-addition
Peoria Downtown Main Library Renovation and Expansion,Peoria Public Library,"Peoria, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0034.JPG?h=fee4874d&itok=k7-SwOXI,https://www.f-w.com/projects/library-renovation-incorporates-natural-light
New Northside Suburban Branch Library,"Peoria, IL, Public Library","Peoria, IL",,Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0013_0.JPG?h=fee4874d&itok=jEllTlHJ,https://www.f-w.com/projects/library-serves-growing-population
Corpus Christi EF 90 Pipelines,Magellan Midstream Partners,"Corpus Christi, TX","Electrical, Mechanical, Oil & Gas, Structural, Surveying","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Corpus%202.jpg?h=0da20745&itok=nhq8SHHZ,https://www.f-w.com/projects/linking-pipeline-terminals-in-corpus-christi
Wildlife Prairie Park Lodging Master Plan,Wildlife Prairie Park,"Hanna City, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Wildlife%20Prairie%20Park%20large.jpg?h=d99db067&itok=PhtUn6fY,https://www.f-w.com/projects/lodging-offers-year-round-access-for-activities
Grand Entry Master Plan & Entry Sign,Western Illinois University,"Macomb, IL","Architecture, Electrical, Land Development, Landscape Architecture, Surveying",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/2B%20-%204-9-13.jpg?h=0a6c2a7a&itok=7s7bX2dW,https://www.f-w.com/projects/macomb-campus-entry-adds-iconic-monument-sign
Aspen Bus Maintenance Facility Retro-Commissioning,Roaring Fork Transportation Authority,"Aspen, CO",Commissioning (Cx),"Industrial, Municipal",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/RFTA%20080408%20125.jpg?h=feba0e1d&itok=GW9SB9ec,https://www.f-w.com/projects/maintenance-facility-considers-sustainability
Sugar Creek Branch Master Plan,Bloomington-Normal Water Reclamation District,"Bloomington-Normal, IL","Landscape Architecture, Planning, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Trail-Veiw.png?h=653153ef&itok=t4OowqWo,https://www.f-w.com/projects/master-plan-for-constitution-trail-addition
Kirby Medical Master Plan,Kirby Medical Center,"Monticello, IL","Architecture, Planning",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Campus%20Master%20Plan%20on%20Aerial_0.jpg?h=f6a63379&itok=gzsRkP0S,https://www.f-w.com/projects/master-plan-leads-to-development-success
College Master Plan Update,Carl Sandburg College,"Galesburg, IL","Architecture, Interior Design",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC04016.JPG?h=30c08e7f&itok=sijkJZYS,https://www.f-w.com/projects/master-planning-process-greens-up-college-campus
Mattoon Service Center,Confidential Client,"Mantoon, IL","Architecture, Interior Design",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/BCBS_Mattoon_Ext_04%20-%20For%20Prinicapls%20meeting.jpg?h=1dd3cf61&itok=RU343EmM,https://www.f-w.com/projects/mattoon-service-center
Tarrant County College Northwest Campus Redevelopment,Tarrant County College District,"Fort Worth, TX","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/NW-Campus-c01-scaled-1-larger.png?h=837bb946&itok=Gt0vhpQT,https://www.f-w.com/projects/maximizing-potential-full-building-commissioning-for-tarrant-county-college-northwest
Meadow Lake Wind Farm Site and O&M Building,Horizon Wind Energy,"White County, IN","Architecture, Electrical, Engineering, Mechanical, Plumbing, Surveying, Transportation","Energy & Utilities, Industrial, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1114.jpg?h=30c08e7f&itok=88DDPfkM,https://www.f-w.com/projects/meadow-lake-wind-farm-in-white-county-indiana
CornerStar Healthcare Plaza,Health Connect Properties,"Aurora, CO","Architecture, Interior Design","Commercial, Healthcare",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_MCJ3764-Edit.jpg?h=d9d4a10a&itok=d4ZjRmoJ,https://www.f-w.com/projects/medical-meets-retail
Grange Grove - West Memorial Stadium,University of Illinois at Urbana-Champaign,"Champaign, IL","Electrical, Land Development","Higher Education, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/2015-09-02%2014.37.30.jpg?h=29234840&itok=y-UmEhqI,https://www.f-w.com/projects/memorial-stadium-offers-recreational-plaza
McLean County Law and Justice Center Jail Expansion,"McLean County, Illinois","Bloomington, IL","Architecture, Commissioning (Cx), Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Justice%20Center%20dusk%201.jpg?h=5ae047e1&itok=0Ba-ekAK,https://www.f-w.com/projects/mental-health-services-drive-jail-expansion
Lowry Eating Recovery Clinic,Boulder Associates,"Denver, CO","Commissioning (Cx), Electrical, Mechanical, Plumbing",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Lowry%20Eating%20Recovery%20Center%202.jpg?h=51a72048&itok=J6HO4I0W,https://www.f-w.com/projects/mep-for-recovery-center
Methodist College New Campus,Methodist College,"Peoria, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/3BHP3791.JPG?h=0d27ee61&itok=GD39jVHQ,https://www.f-w.com/projects/methodist-college-new-campus
Danville Mini Park and Bus Shelter,City of Danville,"Danville, IL","Architecture, Landscape Architecture, Municipal, Structural",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0459%20EDIT.jpg?h=71976bb4&itok=13jZXRY8,https://www.f-w.com/projects/mini-park-brings-oasis-of-green-to-city
Centennial Civic Center,City of Centennial,"Centennial, CO","Architecture, Electrical, Interior Design, Mechanical",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Centennial%20Civic%20Center-0001.jpg?h=89bf804a&itok=40euFzEv,https://www.f-w.com/projects/minimalist-design-preference-realized
Minnequa Reservoir and Pump Station Watermain Improvements,City of Florence,"Florence, CO",Engineering,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/2013-10-31%2015.49.31.jpg?h=a5eb5da0&itok=AGSQzj88,https://www.f-w.com/projects/mitigation-of-high-seepage-loss-in-a-reservoir
Echo Bluff State Park,State of Missouri,"Shannon County, MO","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0047.jpg?h=790be497&itok=plGDInfK,https://www.f-w.com/projects/modern-yet-rustic-flair
West Palm Beach Veterans Affairs Health Care System,US Department of Veterans Affairs,"West Palm Beach, FL","Architecture, Building Enclosure Commissioning (BECx), Commissioning (Cx), Electrical, Mechanical, Plumbing, Structural, Surveying","DOD / Federal, Healthcare",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/VA-Hospital-Veterans-Affairs-Medical-Center-West-Palm-Beach-sm-1-larger.png?h=837bb946&itok=QaeZRFha,https://www.f-w.com/projects/modernizing-excellence-transforming-the-veterans-affairs-health-care-system-in-west-palm
Morrison Community Hospital - Emergency Department Renovations,Morrison Community Hospital,"Morrison, IL","Architecture, Electrical, Fire Protection, Interior Design, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/MCH%20ED%20Addition%20-%20from%20helipad.jpg?h=4d40fd2e&itok=hw6WHF9Z,https://www.f-w.com/projects/morrison-community-hospital-emergency-department-renovations
Morrison Community Hosptial - Renovation and Expansion,Morrison Community Hosptial,"Morrison, IL","Architecture, Electrical, Fire Protection, Interior Design, Mechanical, Plumbing",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Farnsworth_MCH-19.jpg?h=43223b40&itok=Aqw-0piC,https://www.f-w.com/projects/morrison-community-hospital-renovation-and-expansion
Morton Family Aquatic Center,Morton Park District,"Morton, IL","Architecture, Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0192.JPG?h=623f249a&itok=8QdDKyOy,https://www.f-w.com/projects/morton-outdoor-family-aquatic-center
Mt. Vernon Police Station,City of Mt. Vernon,"Mt. Vernon, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/MVPD_Exterior_01_Full.jpg?h=8435ce78&itok=9VeoV7sF,https://www.f-w.com/projects/mt-vernon-police-station
Hospital Sisters of Saint Francis,Hospital Sisters of Saint Francis,"Springfield, IL","Architecture, Landscape Architecture, Structural",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0414%20edited.jpg?h=bfa41935&itok=neuxZXSL,https://www.f-w.com/projects/multi-phased-design-build-project
Methodist North at Allen Road,PJ Hoerr,"Peoria, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying, Transportation",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_3436_0.jpg?h=1389ae57&itok=zieqNj4Y,https://www.f-w.com/projects/multi-practice-medical-office-building
Trutter Center,Lincoln Land Community College,"Springfield, IL","Architecture, Interior Design",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/exterior%20dark.jpg?h=370de11b&itok=CD-mi3tY,https://www.f-w.com/projects/multi-purpose-meeting-facility-adds-flexibility-to-campus
20-Year Office Space and Housing Strategic Plan,Roaring Fork Transportation Authority,"Carbondale, CO",Architecture,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/CMF%20Aerial.jpg?h=d80353ca&itok=VWK42lyP,https://www.f-w.com/projects/multiphase-project-develops-strategic-20-year-plan
"Multiple, Third-Party ICC 500 Storm Shelter Reviews",Dallas Independent School District (DISD),"Dallas, TX","Architecture, Electrical, Mechanical, Plumbing, Structural","K-12 Education, ICC Storm Shelter Peer Review",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Hillcrest%20HS%202A_0.JPG?h=19f14c2c&itok=TvH3i1pe,https://www.f-w.com/projects/multiple-storm-shelter-reviews-for-dallas-district
REX-NGPL Station 311 Interconnect,"Natural Gas Pipeline Company of America, LLC","Hammond, IL","Electrical, Mechanical, Oil & Gas, Surveying","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC01501_0.JPG?h=7ccb2969&itok=50rzn9eN,https://www.f-w.com/projects/natural-gas-interconnect
Natural Gas Pipeline Interconnect Projects,,Nationwide,Oil & Gas,Oil & Gas,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/2010%20Jul%2022_0484.JPG?h=adbb760b&itok=bD-BFG-J,https://www.f-w.com/projects/natural-gas-pipeline-interconnect-projects
Bellco Credit Union Branches,Bellco Credit Union,,"Architecture, Interior Design",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Bellco-Havana%20and%20Mississippi-2.jpg?itok=oEGhB4Ni,https://www.f-w.com/projects/neighborhood-jewels
Pueblo Community Health Center East Side Clinic,RTA Architects,"Pueblo, CO","Commissioning (Cx), Electrical, Mechanical, Plumbing","Energy & Utilities, Healthcare",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/PCHC-Exterior-24741---EDIT.jpg?h=a7893e5f&itok=aCZElmKH,https://www.f-w.com/projects/net-zero-road-map-achieved
Peoria High School Athletic Fields,Peoria Public Schools District 150,"Peoria, IL","Architecture, Electrical, Land Development, Structural, Surveying","K-12 Education, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0071.JPG?h=fee4874d&itok=WwjhLgw9,https://www.f-w.com/projects/new-athletic-facilities-delight-local-high-school
Camp Shelby Operational Readiness Training Complex Barracks,Mississippi Army National Guard / Mississippi Department of the Military,"Hattiesburg, MS",Commissioning (Cx),DOD / Federal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Camp%20Shelby%20const%20Oct2013_1537%20toned.jpg?itok=R2SJlCsq,https://www.f-w.com/projects/new-barracks-for-national-guard-training-center
New Bleachers & Press Box for Washington Community High School,Washington Community High School,"Washington, IL","Architecture, Electrical, Landscape Architecture, Structural","K-12 Education, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Washington%20final%20bleacher%20photo.jpg?h=790be497&itok=rvmyRNm4,https://www.f-w.com/projects/new-bleachers-press-box-for-washington-community-high-school
Wheeler Bridge Over Sinking Creek,State of Missouri Office of Administration and Missouri State Parks,"Shannon County, MO","Land Development, Structural, Surveying, Transportation",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Bridge.JPG?h=29234840&itok=9EoxULpv,https://www.f-w.com/projects/new-bridge-over-sinking-creek
Richwoods Christian Church,Richwoods Christian Church,"Peoria, IL","Architecture, Electrical, Mechanical, Plumbing, Structural",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/richwoods%20church%20ext%20copy.jpg?itok=k3n394Wn,https://www.f-w.com/projects/new-church-facility
Crossing Trails Wind Farm Site,Horizon Wind Energy,"Kit Carson County, CO","Engineering, Surveying, Transportation","Energy & Utilities, Industrial, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Crossing%20Trails%20Control%202%20010.jpg?h=c7d97968&itok=HJWWXoks,https://www.f-w.com/projects/new-crossing-trails-wind-farm-planned-for-kit-carson
New Headworks and Dewatering Buildings- South Fort Collins Sanitation District,South Fort Collins Sanitation District,"Fort Collins, CO","Engineering, Surveying, Wastewater",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SFCS016-edited_0.jpg?h=8a6d63f3&itok=VggYk0oz,https://www.f-w.com/projects/new-facilities-double-districts-capacity
Downs Fire Station,"Downs, IL","Downs, IL","Architecture, Electrical, Engineering, Land Development, Mechanical, Municipal, Plumbing, Structural",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Downs%20Fire%20truck%20bays%20-%20web.jpg?h=feba0e1d&itok=5KOr-hXP,https://www.f-w.com/projects/new-fire-station-houses-seven-apparatus-bays-one-wash-bay
New Greenfield Semi-Conductor Fab Complex,Confidential Client,,"Architecture, Process Piping",Advanced Manufacturing & Technology,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/AdobeStock_718151270.jpeg?h=ef0b945c&itok=xe9sWaEI,https://www.f-w.com/projects/new-greenfield-semi-conductor-fab-complex
Morton High School Athletic Fields,Morton District 709 Schools,"Morton, IL","Architecture, Electrical, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying","K-12 Education, Parks & Recreation",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/website%20slideshow%20template%20Morton%20football%20field.jpg?h=93fddeb0&itok=DrPYZKgX,https://www.f-w.com/projects/new-high-school-athletic-fields
Washington Community High School District 308 Renovations,Washington Community High School,"Washington, IL","Architecture, Electrical, Engineering, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/JN2_6904%20%28cropped%29.jpg?h=9cf65783&itok=qeeWdmDo,https://www.f-w.com/projects/new-high-school-band-chorus-room-addition
Orchard Town Center,Vestar,"Westminster, CO","Architecture, Structural","Commercial, Retail & Mixed Use",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20170825_152237.jpg?h=69d5bf00&itok=WR-h3eFL,https://www.f-w.com/projects/new-identity-draws-patrons-and-tenants
New Laboratory & Drive-Thru Services Facility at Springfield Clinic,Springfield Clinic,"Springfield, IL","Architecture, Interior Design, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Spfld_Clinic_Lab_Int_06.jpeg?h=9855f42d&itok=AnnDw-xt,https://www.f-w.com/projects/new-laboratory-drive-thru-services-facility-at-springfield-clinic
Harmony Ridge Lift Station,Boxelder Sanitation District,"Fort Collins, CO","Architecture, Engineering",,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Harmony%20Ridge%20LS-3.JPG?itok=Dx2ANBzP,https://www.f-w.com/projects/new-lift-station-expands-districts-service-area
Murray Baker Bridge Exterior Lighting,"City of Peoria, Illinois","Peoria, IL","Electrical, Landscape Architecture, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0666_edit_0.jpg?h=790be497&itok=uCNJu3oo,https://www.f-w.com/projects/new-lights-highlight-iconic-bridge-superstructure
Transmix Processing Facility,"Kinder Morgan, Inc.","St. Louis, MO","Electrical, Oil & Gas, Structural","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Transmix%202.jpg?h=a5eb5da0&itok=ojZte286,https://www.f-w.com/projects/new-location-for-petroleum-transmix-processing-facility
